Date,Return
Jan-98,-0.47
Feb-98,-1.7
Mar-98,1.65
Apr-98,-3.21
May-98,-0.85
Jun-98,-0.62
Jul-98,-6.56
Aug-98,-10.35
Sep-98,6.35
Oct-98,-2.72
Nov-98,1.82
Dec-98,-3.01
Jan-99,-1.99
Feb-99,-2.69
Mar-99,-0.5
Apr-99,9.71
May-99,2.2
Jun-99,-1.38
Jul-99,-3.67
Aug-99,-2.18
Sep-99,-3.72
Oct-99,-2.58
Nov-99,-2.1
Dec-99,3
Jan-00,0.34
Feb-00,-1.31
Mar-00,3.24
Apr-00,6.59
May-00,1.05
Jun-00,2.65
Jul-00,8.5
Aug-00,-3.97
Sep-00,3.22
Oct-00,-4.29
Nov-00,1.19
Dec-00,6.92
1-Jan,1.46
1-Feb,-1.3
1-Mar,0.91
1-Apr,2.63
1-May,2.53
1-Jun,5.85
1-Jul,-1.73
1-Aug,3.39
1-Sep,-4.01
1-Oct,-2.69
1-Nov,5.35
1-Dec,2.64
2-Jan,0.38
2-Feb,1.81
2-Mar,5.99
2-Apr,1.31
2-May,1.45
2-Jun,2.74
2-Jul,-5.05
2-Aug,-0.02
2-Sep,-3.95
2-Oct,-4.57
2-Nov,4.53
2-Dec,1.14
3-Jan,-2.79
3-Feb,1.62
3-Mar,2.07
3-Apr,4.77
3-May,6.12
3-Jun,2.6
3-Jul,5.24
3-Aug,0.43
3-Sep,3.15
3-Oct,2.15
3-Nov,4.52
3-Dec,3.43
4-Jan,4.3
4-Feb,2.19
4-Mar,5.6
4-Apr,-15.26
4-May,7.06
4-Jun,2.99
4-Jul,0.04
4-Aug,7.88
4-Sep,0.19
4-Oct,4.55
4-Nov,4.64
4-Dec,4.82
5-Jan,-7.91
5-Feb,2.25
5-Mar,-1.86
5-Apr,4.68
5-May,3.58
5-Jun,4.7
5-Jul,6.57
5-Aug,-4.25
5-Sep,-0.1
5-Oct,-2.73
5-Nov,4.34
5-Dec,-0.22
6-Jan,7
6-Feb,1.44
6-Mar,5
6-Apr,-3.1
6-May,-2.78
6-Jun,4.99
6-Jul,3.01
6-Aug,3.42
6-Sep,1.98
6-Oct,6.32
6-Nov,4.46
6-Dec,-1.22
7-Jan,7.83
7-Feb,-2.92
7-Mar,-2.5
7-Apr,0.11
7-May,0.1
7-Jun,-9.04
7-Jul,-8.79
7-Aug,5.5
7-Sep,4.24
7-Oct,0.82
7-Nov,-8.62
7-Dec,-4.42
8-Jan,-0.3
8-Feb,-3.85
8-Mar,3.88
8-Apr,6.1
8-May,0.76
8-Jun,-11.25
8-Jul,2.81
8-Aug,2.01
8-Sep,-0.33
8-Oct,-30.23
8-Nov,-21.51
8-Dec,15.87
9-Jan,-16.49
9-Feb,-19.46
9-Mar,4.41
9-Apr,27.97
9-May,2.14
9-Jun,-2.47
9-Jul,10.18
9-Aug,12.22
9-Sep,6.37
9-Oct,-4.8
9-Nov,6.84
9-Dec,6.43
10-Jan,-4.68
10-Feb,5.06
10-Mar,9.42
10-Apr,6.58
10-May,-5.32
10-Jun,-4.53
10-Jul,8.99
10-Aug,-1.4
10-Sep,4.46
10-Oct,4.56
10-Nov,-1.62
10-Dec,4.67
11-Jan,3.64
11-Feb,4.49
11-Mar,-1.38
11-Apr,4.89
11-May,0.84
11-Jun,-2.68
11-Jul,0.39
11-Aug,-5.06
11-Sep,-10.41
11-Oct,13.31
11-Nov,-3.53
11-Dec,4.55
12-Jan,6.47
12-Feb,-0.66
12-Mar,4.39
12-Apr,2.8
12-May,-3.95
12-Jun,5.88
12-Jul,2.3
12-Aug,0.46
12-Sep,-0.89
12-Oct,-0.33
12-Nov,-0.64
12-Dec,3.2
13-Jan,4.28
13-Feb,1.29
13-Mar,3.29
13-Apr,5.8
13-May,-6.56
13-Jun,-2.28
13-Jul,0.53
13-Aug,-6.23
13-Sep,3.55
13-Oct,4.06
13-Nov,-4.41
13-Dec,0.84
14-Jan,3.38
14-Feb,4.69
14-Mar,0.32
14-Apr,2.88
14-May,2.76
14-Jun,1.18
14-Jul,-0.19
14-Aug,3.38
14-Sep,-5.63
14-Oct,8.72
14-Nov,2.3
14-Dec,1.09
15-Jan,5.59
15-Feb,-2.58
15-Mar,1.15
15-Apr,-4.71
15-May,-0.11
15-Jun,-4.32
15-Jul,4.85
15-Aug,-5.68
15-Sep,1.87
15-Oct,6.14
15-Nov,-0.26
15-Dec,1.19
16-Jan,-3.48
16-Feb,-0.29
16-Mar,9.99
16-Apr,-1.66
16-May,2.34
16-Jun,6.68
16-Jul,3.87
16-Aug,-3.28
16-Sep,-1.41
16-Oct,-4.89
16-Nov,-2.04
16-Dec,4.2
17-Jan,0.24
17-Feb,4.16
17-Mar,-1.39
17-Apr,0.51
17-May,-0.15
17-Jun,2.03
17-Jul,1.19
17-Aug,0.62
17-Sep,-0.57
17-Oct,-0.15
17-Nov,2.63
17-Dec,-0.11
18-Jan,-3.24
18-Feb,-7.02
18-Mar,3.74
18-Apr,0.55
18-May,3.53
18-Jun,4.06
18-Jul,0.77
18-Aug,2.68
18-Sep,-2.36
18-Oct,-2.62
18-Nov,4.49
18-Dec,-7.73
19-Jan,11.42
19-Feb,0.5
19-Mar,4.22
19-Apr,-0.06
19-May,0.2
19-Jun,1.63
19-Jul,1.58
19-Aug,3.4
19-Sep,2.11
19-Oct,1.14
19-Nov,-1.35
19-Dec,0.77
20-Jan,1.4
20-Feb,-7.08
20-Mar,-20.85
