DATE,Balance in Billions
4/7/2008,1
4/8/2008,0
4/9/2008,3.25
4/10/2008,0
4/11/2008,0
4/14/2008,0
4/15/2008,1.7
4/16/2008,0
4/17/2008,2
4/18/2008,3
4/21/2008,1.438
4/22/2008,0
4/23/2008,0
4/24/2008,0
4/25/2008,0
4/28/2008,0
4/29/2008,4.032
4/30/2008,2.723
5/1/2008,0
5/2/2008,1.84
5/5/2008,0
5/6/2008,0
5/7/2008,0
5/8/2008,0
5/9/2008,0
5/12/2008,0
5/13/2008,0
5/14/2008,2.433
5/15/2008,4.5
5/16/2008,0
5/19/2008,0
5/20/2008,0
5/21/2008,14.358
5/22/2008,0
5/23/2008,0
5/26/2008,0
5/27/2008,0
5/28/2008,1.357
5/29/2008,0
5/30/2008,2
6/2/2008,0
6/3/2008,0
6/4/2008,0
6/5/2008,0.4
6/6/2008,0
6/9/2008,0
6/10/2008,0
6/11/2008,2.5
6/12/2008,0
6/13/2008,0
6/16/2008,5
6/17/2008,0
6/18/2008,8.75
6/19/2008,2.682
6/20/2008,2.684
6/23/2008,1.32
6/24/2008,11.846
6/25/2008,6.452
6/26/2008,3.75
6/27/2008,0
6/30/2008,0
7/1/2008,0.5
7/2/2008,0
7/3/2008,1.1
7/4/2008,0
7/7/2008,0
7/8/2008,0
7/9/2008,0
7/10/2008,0
7/11/2008,0.831
7/14/2008,0
7/15/2008,1.306
7/16/2008,2.755
7/17/2008,3.286
7/18/2008,2.25
7/21/2008,1.585
7/22/2008,3.082
7/23/2008,0.357
7/24/2008,5.031
7/25/2008,2
7/28/2008,8.319
7/29/2008,0
7/30/2008,0
7/31/2008,0
8/1/2008,1.178
8/4/2008,0
8/5/2008,4.445
8/6/2008,4.3
8/7/2008,5
8/8/2008,0
8/11/2008,0
8/12/2008,0
8/13/2008,0
8/14/2008,2.608
8/15/2008,5.323
8/18/2008,1.153
8/19/2008,0.418
8/20/2008,0.474
8/21/2008,0
8/22/2008,0
8/25/2008,0
8/26/2008,0
8/27/2008,0
8/28/2008,2.431
8/29/2008,4.53
9/1/2008,0
9/2/2008,0.74
9/3/2008,0
9/4/2008,0
9/5/2008,0
9/8/2008,0
9/9/2008,0
9/10/2008,6.18
9/11/2008,6.463
9/12/2008,0
9/15/2008,48.742
9/16/2008,28.8
9/17/2008,0
9/18/2008,73.604
9/19/2008,16.4
9/22/2008,16
9/23/2008,0
9/24/2008,0
9/25/2008,0
9/26/2008,0
9/29/2008,0
9/30/2008,0
10/1/2008,0
10/2/2008,0
10/3/2008,0
10/6/2008,0
10/7/2008,0
10/8/2008,13.55
10/9/2008,0
10/10/2008,0
10/13/2008,0
10/14/2008,0
10/15/2008,0
10/16/2008,0
10/17/2008,0
10/20/2008,0
10/21/2008,0
10/22/2008,0
10/23/2008,0
10/24/2008,0
10/27/2008,0
10/28/2008,0
10/29/2008,0
10/30/2008,0
10/31/2008,0
11/3/2008,0
11/4/2008,0
11/5/2008,0
11/6/2008,0
11/7/2008,0
11/10/2008,0
11/11/2008,0
11/12/2008,0
11/13/2008,0
11/14/2008,0
11/17/2008,0
11/18/2008,0
11/19/2008,0
11/20/2008,0
11/21/2008,0
11/24/2008,0
11/25/2008,0
11/26/2008,0
11/27/2008,0
11/28/2008,0
12/1/2008,0
12/2/2008,0
12/3/2008,0
12/4/2008,0
12/5/2008,0
12/8/2008,0
12/9/2008,0
12/10/2008,0
12/11/2008,0
12/12/2008,0
12/15/2008,0
12/16/2008,0
12/17/2008,0
12/18/2008,0
12/19/2008,0
12/22/2008,0
12/23/2008,0
12/24/2008,0
12/25/2008,0
12/26/2008,0
12/29/2008,0
12/30/2008,0
12/31/2008,0
