Date,Open,High,Low,Price,Adj Close,Volume
12/1/1998,30.25,30.828125,29.640625,30.234375,14.220064,162900
1/1/1999,30.015625,30.734375,29.203125,29.484375,13.867315,988800
2/1/1999,29.65625,29.796875,28.21875,28.671875,13.485176,502900
3/1/1999,28.4375,29,26.6875,26.6875,12.551874,412200
4/1/1999,26.796875,29.828125,26.796875,29.265625,13.854979,350000
5/1/1999,29.359375,30.34375,29.046875,29.609375,14.017711,907900
6/1/1999,29.515625,31,29.203125,30.640625,14.505928,581300
7/1/1999,30.796875,31.421875,29.90625,30.734375,14.639568,208100
8/1/1999,30.78125,31.46875,28.296875,29.265625,13.939965,395300
9/1/1999,29.0625,29.8125,27.890625,29.78125,14.185569,432900
10/1/1999,29.59375,30.375,27.765625,29.9375,14.369491,397400
11/1/1999,30,30.390625,28.5,28.953125,13.897009,453400
12/1/1999,28.90625,29.84375,27.828125,28.140625,13.507017,2634100
1/1/2000,28.9375,28.9375,26.234375,27.640625,13.351643,1887600
2/1/2000,27.59375,27.609375,23.375,24.28125,11.728915,1018600
3/1/2000,25.15625,27.09375,24.921875,26.734375,12.913886,1635500
4/1/2000,26.640625,29.375,26,28.484375,13.861773,1009300
5/1/2000,28.234375,28.859375,27.078125,28.421875,13.83136,2492500
6/1/2000,28.328125,29.90625,27.15625,27.25,13.261072,10761200
7/1/2000,27.90625,29.015625,27.234375,27.671875,13.5684,3874900
8/1/2000,27.859375,29.3125,27.78125,28.75,14.097043,681300
9/1/2000,28.984375,32.5625,28.78125,32.28125,15.828528,3679300
10/1/2000,31.984375,34.15625,30.8125,34.15625,16.886866,1225100
11/1/2000,34.28125,34.546875,33.34375,34.140625,16.87915,467600
12/1/2000,34,34.421875,31.40625,33.1875,16.407921,487200
1/1/2001,32.9375,33.921875,30.0625,31.32,15.711968,973100
2/1/2001,31.450001,32.709999,31.200001,31.969999,16.03805,532900
3/1/2001,31.799999,32.060001,28.299999,31.290001,15.696914,1341800
4/1/2001,31.290001,33.27,29.940001,32.799999,16.571007,2151000
5/1/2001,33,33.549999,31.9,33.029999,16.687204,658900
6/1/2001,32.700001,32.900002,30.030001,31.15,15.737406,802100
7/1/2001,31,32.220001,29.33,30.870001,15.707449,733600
8/1/2001,30.700001,31.469999,29.639999,29.77,15.147742,811100
9/1/2001,29.9,30.43,28.389999,29.26,14.888238,2107300
10/1/2001,29.209999,30.309999,27.6,27.719999,14.213334,1904600
11/1/2001,28,28.799999,27.26,27.370001,14.033868,3354600
12/1/2001,27.23,28.299999,26.639999,28.030001,14.372282,1328400
1/1/2002,27.9,28.700001,26.280001,27.02,13.961729,1830500
2/1/2002,27.25,27.34,25.780001,26.969999,13.935891,1410300
3/1/2002,27.25,28.540001,27.200001,28.18,14.561125,1691100
4/1/2002,27.9,28.25,25.4,26.469999,13.788238,1727800
5/1/2002,26.309999,27.25,25.35,26.25,13.673639,2050500
6/1/2002,26.190001,26.309999,23.33,24.25,12.631836,1671500
7/1/2002,24.370001,24.370001,16.4,20.68,10.876374,2803000
8/1/2002,20.799999,22.74,19.629999,21.5,11.307639,2544500
9/1/2002,21.549999,21.549999,17.440001,18.67,9.819237,5099300
10/1/2002,18.889999,19.110001,14.9,18.24,9.709988,20008700
11/1/2002,18.139999,19.389999,17.299999,18.77,9.992131,10791900
12/1/2002,18.85,19.49,17.92,19.15,10.194423,11815800
1/1/2003,19.379999,20.700001,18.219999,18.700001,10.073471,15442800
2/1/2003,18.799999,18.84,16.709999,17.700001,9.534785,10068700
3/1/2003,17.9,18.74,17.389999,18.4,9.911866,9243800
4/1/2003,18.51,20.24,18.309999,19.99,10.883465,8530100
5/1/2003,20,22.42,19.610001,22.01,11.983245,19859900
6/1/2003,22.299999,22.950001,21.959999,22.120001,12.043138,13760400
7/1/2003,21.99,22.25,20.5,20.639999,11.333208,10354300
8/1/2003,20.76,21.1,20.120001,21.049999,11.558325,9023800
9/1/2003,20.969999,21.969999,20.969999,21.9,12.025056,12850500
10/1/2003,21.969999,22.34,21.610001,22.049999,12.216145,9327700
11/1/2003,22.17,22.4,21.25,22.1,12.243844,10579400
12/1/2003,22.190001,23.48,22,23.33,12.925291,13439700
1/1/2004,23.4,24.120001,23.1,23.809999,13.314483,9584200
2/1/2004,23.99,24.280001,23.309999,24.26,13.56612,8427200
3/1/2004,24.459999,24.75,23.719999,24.32,13.59967,19450700
4/1/2004,24.370001,24.459999,22.719999,23.280001,13.124433,18940200
5/1/2004,23.49,23.639999,22.07,23.559999,13.28229,21483400
6/1/2004,23.59,24.049999,23.18,23.76,13.395041,15285200
7/1/2004,23.870001,24.299999,23.309999,24.120001,13.717049,12470200
8/1/2004,24.209999,25.1,23.959999,25.1,14.274375,16854200
9/1/2004,25.129999,25.49,24.77,25.049999,14.245935,15324700
10/1/2004,25.059999,26.549999,25.049999,26.27,15.064598,16129700
11/1/2004,26.42,28.25,25.950001,27.440001,15.735535,31083100
12/1/2004,27.299999,28.200001,26.75,27.85,15.97065,25639200
1/1/2005,27.799999,28.440001,26.9,28.440001,16.464668,21880000
2/1/2005,28.5,29.58,28.25,29.049999,16.817806,35083100
3/1/2005,29.1,29.98,28.129999,29.15,16.875696,45779100
4/1/2005,29.4,30.1,28.799999,30.049999,17.528778,26177000
5/1/2005,30.219999,30.299999,28.700001,30.030001,17.517107,26645800
6/1/2005,30.139999,31.92,30.049999,31.559999,18.40959,29180800
7/1/2005,31.709999,32.599998,31,32.27,18.977522,36751400
8/1/2005,32.450001,33,31.040001,32.48,19.101015,50543700
9/1/2005,32.400002,33.779999,32.380001,33.599998,19.759676,36174000
10/1/2005,33.799999,34.049999,29.01,31.450001,18.63475,78611500
11/1/2005,31.549999,31.969999,30.299999,31.4,18.605118,57613600
12/1/2005,31.459999,32.75,30.459999,31.389999,18.59919,42773900
1/1/2006,31.59,33.650002,31,32.150002,19.219297,71339100
2/1/2006,32.290001,33.380001,31.299999,32.57,19.470377,51941800
3/1/2006,32.279999,32.689999,30.780001,30.83,18.430204,62278800
4/1/2006,30.98,31.620001,30.1,31.32,18.863722,54974100
5/1/2006,31.34,32.189999,30.549999,31.83,19.170887,67062300
